,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,SI,LI,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,1,1_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,2,2_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,3,3_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,4,4_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,5,5_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_6,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,6,6_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_7,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,7,7_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_8,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,8,8_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_9,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,9,9_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_10,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,10,10_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT
