,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,IFNB,IFNG,LPSIFNG,Naive_Macrophage,Column_Purification,THP1_Monocytes,Purification,Barcode_Allele_Parent,Barcode_Allele_Animal,Allele_Animal
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_1,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,1,1_ALT,ALT,,,,,,,,1_ALT_Brain,1_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_2,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,2,2_ALT,ALT,,,,,,,,2_ALT_Brain,2_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_3,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,3,3_ALT,ALT,,,,,,,,3_ALT_Brain,3_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_4,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,4,4_ALT,ALT,,,,,,,,4_ALT_Brain,4_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_5,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,5,5_ALT,ALT,,,,,,,,5_ALT_Brain,5_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_6,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,6,6_ALT,ALT,,,,,,,,6_ALT_Brain,6_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_7,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,7,7_ALT,ALT,,,,,,,,7_ALT_Brain,7_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_8,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,8,8_ALT,ALT,,,,,,,,8_ALT_Brain,8_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_9,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,9,9_ALT,ALT,,,,,,,,9_ALT_Brain,9_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_10,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,10,10_ALT,ALT,,,,,,,,10_ALT_Brain,10_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_11,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,11,11_ALT,ALT,,,,,,,,11_ALT_Brain,11_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_12,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,12,12_ALT,ALT,,,,,,,,12_ALT_Brain,12_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_13,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,13,13_ALT,ALT,,,,,,,,13_ALT_Brain,13_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_14,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,14,14_ALT,ALT,,,,,,,,14_ALT_Brain,14_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_15,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,15,15_ALT,ALT,,,,,,,,15_ALT_Brain,15_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_16,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,16,16_ALT,ALT,,,,,,,,16_ALT_Brain,16_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_17,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,17,17_ALT,ALT,,,,,,,,17_ALT_Brain,17_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_18,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,18,18_ALT,ALT,,,,,,,,18_ALT_Brain,18_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_19,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,19,19_ALT,ALT,,,,,,,,19_ALT_Brain,19_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_20,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,20,20_ALT,ALT,,,,,,,,20_ALT_Brain,20_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_21,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,21,21_ALT,ALT,,,,,,,,21_ALT_Brain,21_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_22,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,22,22_ALT,ALT,,,,,,,,22_ALT_Brain,22_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_23,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,23,23_ALT,ALT,,,,,,,,23_ALT_Brain,23_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_24,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,24,24_ALT,ALT,,,,,,,,24_ALT_Brain,24_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_25,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,25,25_ALT,ALT,,,,,,,,25_ALT_Brain,25_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_26,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,26,26_ALT,ALT,,,,,,,,26_ALT_Brain,26_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_27,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,27,27_ALT,ALT,,,,,,,,27_ALT_Brain,27_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_28,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,28,28_ALT,ALT,,,,,,,,28_ALT_Brain,28_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_29,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,29,29_ALT,ALT,,,,,,,,29_ALT_Brain,29_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_30,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,30,30_ALT,ALT,,,,,,,,30_ALT_Brain,30_ALT_AP1134,ALT_AP1134
ZC100-MPRA3-AP1134-26-Striatum_ALT_Barcode_31,Striatum,AAV-PHP-EB,,AP1134,M,ZC100R-MPRA3-AP1134-26-Striatum,Brain,Brain,1.0,0.0,0.0,AP1134Striatum,31,31_ALT,ALT,,,,,,,,31_ALT_Brain,31_ALT_AP1134,ALT_AP1134
