,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,1,1_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,2,2_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,3,3_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,4,4_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,5,5_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT
ZC101-MPRA3-AP1134-26-Hippocampus_REF_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,1,1_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,Hippocampus_REF
ZC101-MPRA3-AP1134-26-Hippocampus_REF_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,2,2_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,Hippocampus_REF
ZC101-MPRA3-AP1134-26-Hippocampus_REF_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,3,3_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,Hippocampus_REF
ZC101-MPRA3-AP1134-26-Hippocampus_REF_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,4,4_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,Hippocampus_REF
ZC101-MPRA3-AP1134-26-Hippocampus_REF_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,5,5_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,Hippocampus_REF
ZC105-MPRA3-AP1120-26-Hippocampus_ALT_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,1,1_ALT,ALT,ZC105R-MPRA3-AP1120-26-Hippocampus_ALT,AP1120_ALT,Hippocampus_ALT
ZC105-MPRA3-AP1120-26-Hippocampus_ALT_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,2,2_ALT,ALT,ZC105R-MPRA3-AP1120-26-Hippocampus_ALT,AP1120_ALT,Hippocampus_ALT
ZC105-MPRA3-AP1120-26-Hippocampus_ALT_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,3,3_ALT,ALT,ZC105R-MPRA3-AP1120-26-Hippocampus_ALT,AP1120_ALT,Hippocampus_ALT
ZC105-MPRA3-AP1120-26-Hippocampus_ALT_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,4,4_ALT,ALT,ZC105R-MPRA3-AP1120-26-Hippocampus_ALT,AP1120_ALT,Hippocampus_ALT
ZC105-MPRA3-AP1120-26-Hippocampus_ALT_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,5,5_ALT,ALT,ZC105R-MPRA3-AP1120-26-Hippocampus_ALT,AP1120_ALT,Hippocampus_ALT
ZC105-MPRA3-AP1120-26-Hippocampus_REF_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,1,1_REF,REF,ZC105R-MPRA3-AP1120-26-Hippocampus_REF,AP1120_REF,Hippocampus_REF
ZC105-MPRA3-AP1120-26-Hippocampus_REF_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,2,2_REF,REF,ZC105R-MPRA3-AP1120-26-Hippocampus_REF,AP1120_REF,Hippocampus_REF
ZC105-MPRA3-AP1120-26-Hippocampus_REF_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,3,3_REF,REF,ZC105R-MPRA3-AP1120-26-Hippocampus_REF,AP1120_REF,Hippocampus_REF
ZC105-MPRA3-AP1120-26-Hippocampus_REF_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,4,4_REF,REF,ZC105R-MPRA3-AP1120-26-Hippocampus_REF,AP1120_REF,Hippocampus_REF
ZC105-MPRA3-AP1120-26-Hippocampus_REF_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1120,F,ZC105R-MPRA3-AP1120-26-Hippocampus,Brain,Brain,0,1,0,AP1120Hippocampus,5,5_REF,REF,ZC105R-MPRA3-AP1120-26-Hippocampus_REF,AP1120_REF,Hippocampus_REF
ZC109-MPRA3-AP1121-26-Hippocampus_ALT_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,1,1_ALT,ALT,ZC109R-MPRA3-AP1121-26-Hippocampus_ALT,AP1121_ALT,Hippocampus_ALT
ZC109-MPRA3-AP1121-26-Hippocampus_ALT_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,2,2_ALT,ALT,ZC109R-MPRA3-AP1121-26-Hippocampus_ALT,AP1121_ALT,Hippocampus_ALT
ZC109-MPRA3-AP1121-26-Hippocampus_ALT_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,3,3_ALT,ALT,ZC109R-MPRA3-AP1121-26-Hippocampus_ALT,AP1121_ALT,Hippocampus_ALT
ZC109-MPRA3-AP1121-26-Hippocampus_ALT_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,4,4_ALT,ALT,ZC109R-MPRA3-AP1121-26-Hippocampus_ALT,AP1121_ALT,Hippocampus_ALT
ZC109-MPRA3-AP1121-26-Hippocampus_ALT_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,5,5_ALT,ALT,ZC109R-MPRA3-AP1121-26-Hippocampus_ALT,AP1121_ALT,Hippocampus_ALT
ZC109-MPRA3-AP1121-26-Hippocampus_REF_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,1,1_REF,REF,ZC109R-MPRA3-AP1121-26-Hippocampus_REF,AP1121_REF,Hippocampus_REF
ZC109-MPRA3-AP1121-26-Hippocampus_REF_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,2,2_REF,REF,ZC109R-MPRA3-AP1121-26-Hippocampus_REF,AP1121_REF,Hippocampus_REF
ZC109-MPRA3-AP1121-26-Hippocampus_REF_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,3,3_REF,REF,ZC109R-MPRA3-AP1121-26-Hippocampus_REF,AP1121_REF,Hippocampus_REF
ZC109-MPRA3-AP1121-26-Hippocampus_REF_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,4,4_REF,REF,ZC109R-MPRA3-AP1121-26-Hippocampus_REF,AP1121_REF,Hippocampus_REF
ZC109-MPRA3-AP1121-26-Hippocampus_REF_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1121,F,ZC109R-MPRA3-AP1121-26-Hippocampus,Brain,Brain,0,1,0,AP1121Hippocampus,5,5_REF,REF,ZC109R-MPRA3-AP1121-26-Hippocampus_REF,AP1121_REF,Hippocampus_REF
ZC97-MPRA3-AP1133-26-Hippocampus_ALT_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,1,1_ALT,ALT,ZC97R-MPRA3-AP1133-26-Hippocampus_ALT,AP1133_ALT,Hippocampus_ALT
ZC97-MPRA3-AP1133-26-Hippocampus_ALT_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,2,2_ALT,ALT,ZC97R-MPRA3-AP1133-26-Hippocampus_ALT,AP1133_ALT,Hippocampus_ALT
ZC97-MPRA3-AP1133-26-Hippocampus_ALT_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,3,3_ALT,ALT,ZC97R-MPRA3-AP1133-26-Hippocampus_ALT,AP1133_ALT,Hippocampus_ALT
ZC97-MPRA3-AP1133-26-Hippocampus_ALT_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,4,4_ALT,ALT,ZC97R-MPRA3-AP1133-26-Hippocampus_ALT,AP1133_ALT,Hippocampus_ALT
ZC97-MPRA3-AP1133-26-Hippocampus_ALT_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,5,5_ALT,ALT,ZC97R-MPRA3-AP1133-26-Hippocampus_ALT,AP1133_ALT,Hippocampus_ALT
ZC97-MPRA3-AP1133-26-Hippocampus_REF_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,1,1_REF,REF,ZC97R-MPRA3-AP1133-26-Hippocampus_REF,AP1133_REF,Hippocampus_REF
ZC97-MPRA3-AP1133-26-Hippocampus_REF_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,2,2_REF,REF,ZC97R-MPRA3-AP1133-26-Hippocampus_REF,AP1133_REF,Hippocampus_REF
ZC97-MPRA3-AP1133-26-Hippocampus_REF_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,3,3_REF,REF,ZC97R-MPRA3-AP1133-26-Hippocampus_REF,AP1133_REF,Hippocampus_REF
ZC97-MPRA3-AP1133-26-Hippocampus_REF_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,4,4_REF,REF,ZC97R-MPRA3-AP1133-26-Hippocampus_REF,AP1133_REF,Hippocampus_REF
ZC97-MPRA3-AP1133-26-Hippocampus_REF_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1133,M,ZC97R-MPRA3-AP1133-26-Hippocampus,Brain,Brain,0,1,0,AP1133Hippocampus,5,5_REF,REF,ZC97R-MPRA3-AP1133-26-Hippocampus_REF,AP1133_REF,Hippocampus_REF
