,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Allele,Striatum_interaction,Hippocampus_interaction,Cortex_interaction
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,1,1_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT,1,0,1,0
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,2,2_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT,1,0,1,0
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,3,3_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT,1,0,1,0
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,4,4_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT,1,0,1,0
ZC101-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,5,5_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,Hippocampus_ALT,1,0,1,0
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_1,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,1,1_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_2,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,2,2_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_3,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,3,3_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_4,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,4,4_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
ZC103-MPRA3-AP1120-26-Cortex_ALT_Barcode_5,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,5,5_ALT,ALT,ZC103R-MPRA3-AP1120-26-Cortex_ALT,AP1120_ALT,Cortex_ALT,1,0,0,1
