,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,THP1_Monocytes
IFNB_THP1mac_ZC58_R,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0
IFNB_THP1mac_ZC62_R,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC62_R,Immune,THP1_Macrophage,1,0,0,0,0
IFNB_THP1mac_ZC84_R,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC84_R,Immune,THP1_Macrophage,1,0,0,0,0
IFNB_THP1mac_ZC87_R,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC87_R,Immune,THP1_Macrophage,1,0,0,0,0
IFNB_THP1mac_ZC92_R,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC92_R,Immune,THP1_Macrophage,1,0,0,0,0
IFNG_THP1mac_ZC59_R,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0
IFNG_THP1mac_ZC63_R,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC63_R,Immune,THP1_Macrophage,0,1,0,0,0
IFNG_THP1mac_ZC85_R,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC85_R,Immune,THP1_Macrophage,0,1,0,0,0
IFNG_THP1mac_ZC88_R,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC88_R,Immune,THP1_Macrophage,0,1,0,0,0
IFNG_THP1mac_ZC93_R,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC93_R,Immune,THP1_Macrophage,0,1,0,0,0
LPSIFNG_THP1mac_ZC114_R,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0
LPSIFNG_THP1mac_ZC115_R,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC115_R,Immune,THP1_Macrophage,0,0,1,0,0
LPSIFNG_THP1mac_ZC125_R,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC125_R,Immune,THP1_Macrophage,0,0,1,0,0
LPSIFNG_THP1mac_ZC89_R,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC89_R,Immune,THP1_Macrophage,0,0,1,0,0
LPSIFNG_THP1mac_ZC94_R,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC94_R,Immune,THP1_Macrophage,0,0,1,0,0
Naive_THP1mac_ZC55_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC55_R,Immune,THP1_Macrophage,0,0,0,1,0
Naive_THP1mac_ZC56_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC56_R,Immune,THP1_Macrophage,0,0,0,1,0
Naive_THP1mac_ZC57_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC57_R,Immune,THP1_Macrophage,0,0,0,1,0
Naive_THP1mac_ZC61_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC61_R,Immune,THP1_Macrophage,0,0,0,1,0
Naive_THP1mac_ZC82_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC82_R,Immune,THP1_Macrophage,0,0,0,1,0
Naive_THP1mac_ZC83_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC83_R,Immune,THP1_Macrophage,0,0,0,1,0
Naive_THP1mac_ZC86_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC86_R,Immune,THP1_Macrophage,0,0,0,1,0
Naive_THP1mac_ZC91_R,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC91_R,Immune,THP1_Macrophage,0,0,0,1,0
Naive_THP1mono_ZC111_R,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC111_R,Immune,THP1_Monocyte,0,0,0,0,1
Naive_THP1mono_ZC112_R,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1
Naive_THP1mono_ZC113_R,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1
Naive_THP1mono_ZC37_R,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1
Naive_THP1mono_ZC60_R,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC60_R,Immune,THP1_Monocyte,0,0,0,0,1
Naive_THP1mono_ZC90_R,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC90_R,Immune,THP1_Monocyte,0,0,0,0,1
