enhancer_id,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,47473,48733,50404,58633,58805,51477,54392,53218,64786,66600,55500,57769,56744,71292,69036,51198,52352,52085,63048,62029
ARP.Control.CS6000035558_panTro4_chr12,24230,22021,23939,19794,29081,26825,24388,26892,22630,32301,25095,22507,25089,21182,30924,22420,20510,22687,19322,27720
ARP.Control.CS6000065474_rheMac8_chr20,20972,19796,23569,24184,25323,24512,22667,27487,27528,29646,22416,21263,25920,26194,27505,21038,19578,23280,23647,25241
ARP.Control.CS6000076312_mm10_chr18,25734,24448,23821,25152,27570,28021,27815,29244,27448,31275,28937,28382,27274,28267,31437,26620,24907,23633,25462,27649
ARP.Control.CS6000151238_taeGut2_chr19,36234,28183,29731,36096,32939,39754,29686,31378,37523,35353,38715,31094,32771,39151,37801,34288,27313,29420,35079,33030
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886,12367,11119,17739,13547,18141,12566,12257,19032,16164,20555,13132,12304,19379,15975,20824,12438,11271,17055,14193,19190
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725,24701,21298,23484,24680,31062,28933,22803,24699,27056,35136,30702,26245,33549,30507,38136,27354,22849,24395,26885,34128
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085,29882,36389,31085,30693,45505,30729,31164,32966,32368,46806,35180,34580,37172,36420,54970,32015,32233,33525,33329,49013
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220,10604,10888,12073,14625,16972,11769,11993,13246,15651,17560,13448,13972,15649,17372,20552,11461,12032,13826,15132,17952
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320,5488,4825,5460,9551,12596,5918,5161,5925,10172,13636,6564,5696,6185,11746,14899,6085,4939,5457,11063,13065
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040,61759,54466,50624,57888,72377,67757,59517,54918,61420,77474,75726,68022,61334,70821,87353,67919,59149,54593,62008,76829
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150,23658,18635,19773,28258,28889,26246,20515,21350,29207,36404,27751,22841,23186,31320,33928,24910,20598,20966,28642,30634
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480,22025,17616,20757,22298,26444,24125,18746,23116,24826,29028,24728,18819,22884,25111,29126,22011,17135,21582,22404,26033
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655,60438,64200,61596,62028,64193,67333,68707,63441,65758,66306,73465,83428,74069,77327,77888,68423,71158,68690,70180,70191
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940,30430,24040,31237,36715,38657,33159,26118,33476,40003,41593,32942,26217,35480,40601,44196,29325,25726,31890,36538,38725
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915,40401,37933,41661,40167,47449,42118,47032,43676,41995,49841,47653,45345,48793,48817,55763,42462,42080,43593,43242,50105
ARP.Control.Nguyen_neg_T03000001061,30034,23608,32295,33119,33127,31782,25196,35402,35006,36176,40727,32831,43527,44872,45670,35606,27423,38337,38608,39794
ARP.Control.Nguyen_neg_T03000001872,20806,23766,25910,23534,35598,22002,25470,28105,25638,39172,25344,29092,30685,28559,43065,21675,24948,27562,25482,37131
ARP.Control.Nguyen_neg_T03000002350,22842,20128,21153,22990,38045,24129,21116,22839,24513,40616,29463,24455,26377,27544,45646,24340,21417,23262,24330,40415
ARP.Control.Nguyen_neg_T03000006478,41106,36035,41191,38277,41020,37564,39599,44803,40530,43822,37124,39012,45413,41492,43973,34062,35528,41248,37575,40005
ARP.Control.Nguyen_neg_T03000008079,11317,12457,13075,9814,12412,11370,12819,14020,9945,12452,15037,16250,16963,12011,15703,12771,14224,14933,10707,13886
ARP.Control.Nguyen_neg_T03000009050,39414,34488,36726,33850,40370,44681,37638,40035,38215,43805,44645,39139,40604,40626,44655,38807,33694,35730,33999,40073
ARP.Control.Nguyen_neg_T03000009840,2132,2397,734,3076,3905,2446,2582,778,3439,4690,2585,2736,799,3837,4894,2302,2447,699,3403,4226
ARP.Control.Nguyen_neg_T03000009843,8778,9694,12056,10273,15055,9745,11190,13406,11886,17253,9125,9638,12190,11094,15720,8311,8846,11521,10094,14398
ARP.Control.Nguyen_neg_T03000010893,17047,21479,23136,29249,32504,18130,23506,24967,31500,36126,19445,25219,25478,33755,37933,17457,22176,23074,29090,33929
ARP.Control.hg38_chr1:168848149-168848269,17905,14804,17062,17400,20372,21188,17237,19558,20432,25223,17729,14568,16612,17221,20386,16172,14221,15424,16051,18803
ARP.Control.mm10_chr5:52618636-52618756,17712,13108,15710,16570,18735,19266,15160,17329,19294,27593,20825,16260,18850,20301,22989,17884,14827,16876,17803,20021
ARP.Control.mm10shuf5_chr12:85436241-85436361_shuf_245,38624,28592,34015,31733,38362,42455,31620,36458,33861,41058,46347,34015,40416,38078,45113,41801,31089,36620,34387,40527
ARP.Control.rheMac8_chr2:197426041-197426161,9896,9102,8185,10699,11111,40939,11413,10161,13036,13633,9113,8791,8361,10521,10872,8596,8359,7421,9755,10297
ARP.Control.rs115898899,31956,30196,24800,34902,33882,31662,33205,28234,38962,39015,32245,32371,27671,37466,37219,28719,29406,24303,34276,34389
ARP.Control.taeGut2_chr13:8529831-8529951,1301,985,1355,1433,1832,1522,1284,1439,1505,2244,1378,1108,1332,1457,1859,1302,1116,1262,1261,1610
