enhancer_id,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_6,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_7,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_8,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_9,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_10,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_6,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_7,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_8,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_9,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_10,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_6,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_7,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_8,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_9,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_10,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_6,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_7,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_8,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_9,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_10
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,27757,35696,19716,24983,23750,24131,26273,27631,31002,23109,29252,41758,22225,27798,26594,25819,27399,31641,33145,24842,32581,43613,22919,29577,28192,26738,30006,34124,37168,25423,29712,38076,21486,26592,25760,24603,27482,30249,32799,23953
ARP.Control.CS6000035558_panTro4_chr12,14103,16126,10127,12138,9883,12093,11846,8799,10995,12955,14449,18099,12376,13123,11265,13418,13474,9881,12749,14202,14020,17482,11075,12271,10236,12646,12443,9247,11935,13442,12467,15726,9953,11221,9289,11564,11123,8544,10778,11994
ARP.Control.CS6000065474_rheMac8_chr20,12165,15377,8807,10237,9559,12221,11348,11919,12265,9946,13715,18361,10797,11914,10753,14401,13086,13700,13828,11285,12756,17203,9660,11279,9984,13406,12514,13300,12894,10302,12273,15449,8765,10536,9042,12058,11222,11857,11790,9792
ARP.Control.CS6000076312_mm10_chr18,13916,14978,11818,11968,12480,11447,12374,12568,12584,12592,15686,17181,12335,14587,13228,16257,12987,13469,13979,14094,15356,17090,13581,14491,13891,13866,13408,14035,14232,14347,14847,15022,11773,12645,12262,11725,11908,12632,12830,12627
ARP.Control.CS6000151238_taeGut2_chr19,19160,20698,17074,14447,13736,14830,14901,18086,18010,12241,19729,22458,20025,14855,14831,15674,15704,18754,18769,12895,20320,23758,18395,15929,15165,16001,16770,19797,19354,14043,17979,20325,16309,13789,13524,14758,14662,17799,17280,12705
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886,5262,11864,7105,5884,5235,7715,10024,8788,4759,6277,5725,13501,6841,6221,6036,7774,11258,10503,5661,7054,6151,13708,6981,6337,5967,8064,11315,10277,5698,7116,5518,12849,6920,5817,5454,7086,9969,9092,5101,6341
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725,13818,18753,10883,11126,10172,12142,11342,14048,10632,12309,17007,20647,11926,11586,11217,12871,11828,15253,11803,14489,17027,23117,13675,13459,12786,18599,14950,17547,12960,15019,15228,20488,12126,12207,10642,13173,11222,15001,11884,13640
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085,16405,22603,13477,18853,17536,14470,16615,14602,16091,22902,16575,22601,14154,18280,12884,14998,17968,15549,16819,24205,19442,26816,15738,20392,14188,16774,20398,17567,18853,28154,17885,23523,14130,18567,13666,15045,18480,15998,17331,25490
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220,6191,11297,4413,4451,6437,5885,6188,5458,9167,5675,6831,11623,4938,4979,7014,6399,6847,5883,9768,5937,7672,13580,5776,5652,8320,7844,7805,6243,11129,6972,6575,12015,4886,4898,7134,6520,7306,5612,9520,5937
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320,2851,7590,2637,2270,2555,2874,2586,4281,5270,5006,3224,7957,2694,2353,2808,3074,2851,4623,5549,5679,3550,8816,3014,2753,2943,3189,2996,5553,6193,6083,3260,7712,2825,2399,2540,2712,2745,4638,6425,5353
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040,32512,42152,29247,27998,26468,24113,26511,30922,26966,30225,34910,44568,32847,30915,28602,26204,28714,32698,28722,32906,39724,50052,36002,34822,33200,28775,32559,37954,32867,37301,35502,43945,32417,30876,28273,25805,28788,33231,28777,32884
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150,13878,15635,9780,8656,9979,10946,8827,14299,13959,13254,15897,16643,10349,9612,10903,11867,9483,14281,14926,19761,16270,18243,11481,10545,12296,13079,10107,15022,16298,15685,14704,16238,10206,9317,11281,11712,9254,13523,15119,14396
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480,13273,15010,8752,8202,9414,11129,9628,10869,11429,11434,14071,17050,10054,8135,10611,12041,11075,12160,12666,11978,15092,17009,9636,8332,10487,12153,10731,12068,13043,12117,13245,15029,8766,7740,9395,11742,9840,10885,11519,11004
