enhancer_id,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_6,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_7,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_8,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_9,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_10,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_6,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_7,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_8,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_9,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_10,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_6,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_7,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_8,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_9,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_10,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_6,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_7,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_8,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_9,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_10
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,5425,93775,32027,11095,21521,29033,15705,20354,22957,40786,15758,31018,3145,24207,12943,13207,19984,24020,35278,12118,5326,28608,3643,3630,7815,6125,18569,8288,10630,28082,8429,12144,5069,8998,9684,7772,6429,19491,20002,17821
ARP.Control.CS6000035558_panTro4_chr12,15411,133585,17275,8646,20564,17647,17309,27818,15458,21949,7537,9353,17,7753,6043,8163,19317,15057,29268,24015,2124,46936,7378,1902,978,7146,6483,4594,7,11953,2795,6938,5,8705,6817,7528,5919,9255,23092,17815
ARP.Control.CS6000065474_rheMac8_chr20,7239,36530,1440,8644,4831,12544,8692,6339,16107,15231,0,51733,10269,5647,7402,7109,12230,11181,13867,18420,993,4311,1877,2045,4565,4378,4143,14764,5284,9780,5274,10214,2247,1659,5552,1783,4701,4088,10021,7418
ARP.Control.CS6000076312_mm10_chr18,1,29205,1732,97,7384,14307,15707,18815,19345,19972,6,42097,2146,11249,4047,8226,22751,16083,5335,3311,2026,26199,3911,0,5282,6276,7,4129,18061,8698,4,6800,1995,3875,10186,5485,875,5109,3457,16857
ARP.Control.CS6000151238_taeGut2_chr19,1570,17081,5685,9369,2749,18713,25771,12865,16042,32342,14,59776,6941,10034,21458,12227,8218,15060,35247,41370,6245,38991,2059,3314,2869,6155,7012,12830,11251,12259,2501,89836,2537,4937,10638,8143,8807,15259,12058,6986
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886,0,23720,0,0,2,1479,1079,2979,3582,7579,0,30872,0,0,0,3,7,6887,7523,2076,0,11180,0,0,2157,1917,3175,1,1949,3179,2,3412,5,8,1001,1489,3697,15,994,10610
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725,5,71964,45,7848,2482,7764,9305,11631,22902,20452,0,16675,3306,4,10,4184,8981,7572,12453,25261,978,38854,2170,2105,5884,6322,4059,3796,1065,6,11,23881,2504,1338,4902,2553,1839,4780,795,5802
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085,8835,62455,8976,14184,20079,32218,29960,21723,31454,34110,8,50497,10409,4606,23910,9515,24935,31614,13921,22229,2100,9330,7203,15129,3162,7327,7566,12673,17505,19110,1013,60882,6452,13448,7806,12463,3026,5731,18270,28885
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220,2,35868,3956,4016,4079,7068,14120,4357,23539,26387,2,17791,4,2279,8036,14442,5691,24146,11259,7126,915,1015,4793,4440,2736,2352,3688,7,2340,5709,1786,12316,2,2065,4269,5,6134,6369,4731,5814
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320,0,13787,2,8,5532,5420,10594,1851,24019,9576,0,23276,4,9,1,5693,6238,22216,3810,10431,0,33860,1113,3582,1,0,2089,4,2105,15155,3,4802,2503,2043,5330,4236,3032,3644,1849,7925
