Pseudo-barcode,Rep1_iPSCNeuron_ZC130_R,Rep2_iPSCNeuron_ZC131_R,Rep3_iPSCNeuron_ZC132_R,Rep4_iPSCNeuron_ZC133_R,enhancer_id
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_1,27757,29252,32581,29712,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_10,35696,41758,43613,38076,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_2,19716,22225,22919,21486,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_3,24983,27798,29577,26592,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_4,23750,26594,28192,25760,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_5,24131,25819,26738,24603,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_6,26273,27399,30006,27482,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_7,27631,31641,34124,30249,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_8,31002,33145,37168,32799,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_9,23109,24842,25423,23953,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000035558_panTro4_chr12_Group_1,14103,14449,14020,12467,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_10,16126,18099,17482,15726,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_2,10127,12376,11075,9953,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_3,12138,13123,12271,11221,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_4,9883,11265,10236,9289,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_5,12093,13418,12646,11564,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_6,11846,13474,12443,11123,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_7,8799,9881,9247,8544,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_8,10995,12749,11935,10778,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_9,12955,14202,13442,11994,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000065474_rheMac8_chr20_Group_1,12165,13715,12756,12273,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_10,15377,18361,17203,15449,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_2,8807,10797,9660,8765,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_3,10237,11914,11279,10536,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_4,9559,10753,9984,9042,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_5,12221,14401,13406,12058,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_6,11348,13086,12514,11222,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_7,11919,13700,13300,11857,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_8,12265,13828,12894,11790,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_9,9946,11285,10302,9792,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000076312_mm10_chr18_Group_1,13916,15686,15356,14847,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_10,14978,17181,17090,15022,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_2,11818,12335,13581,11773,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_3,11968,14587,14491,12645,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_4,12480,13228,13891,12262,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_5,11447,16257,13866,11725,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_6,12374,12987,13408,11908,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_7,12568,13469,14035,12632,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_8,12584,13979,14232,12830,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_9,12592,14094,14347,12627,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000151238_taeGut2_chr19_Group_1,19160,19729,20320,17979,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_10,20698,22458,23758,20325,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_2,17074,20025,18395,16309,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_3,14447,14855,15929,13789,ARP.Control.CS6000151238_taeGut2_chr19
